,symbol,isin,close,ema_20,ema_50,period_high,period_low,volume,avg_volume_50d,volume_ratio,price_drop_pct
15,AARVEEDEN,INE273D01019,139.57,141.09682563738764,140.88464676879846,159.9,130.0,74634,41076.84,1.8169362589722093,12.714196372732967
16,AARVI,INE754X01016,106.89,106.60357299995277,108.21050227209219,124.86,88.0,4145,10768.6,0.3849154021878424,14.39211917347429
17,ABAN,INE421A01028,38.07,39.2548447444559,40.620873321733235,43.99,35.32,32815,93986.74,0.34914499641119584,13.457604000909301
18,ABCAPITAL,INE674K01013,196.36,192.89858632081678,182.485715580387,208.8,149.01,2527340,4828025.76,0.5234727662265001,5.9578544061302665
19,ABDL,INE552Z01027,307.25,318.45402458071845,328.4039874876923,365.0,279.0,322134,735936.92,0.43771958064014505,15.821917808219176
20,ABFRL,INE647O01011,263.55,263.0984983334261,259.3357148612416,278.55,231.3,1990813,2329764.54,0.8545125337000794,5.385029617662897
21,ABMINTLLTD,INE251C01025,51.67,49.92464602176151,51.33348607632206,64.0,40.93,414,879.72,0.4706042831810121,19.265624999999996
22,ABSLAMC,INE404A01024,661.5,646.0137553829294,648.0168889117848,686.0,556.45,380821,318372.34,1.1961497660255285,3.571428571428571
23,ABINFRA,INE00YB01017,88.96,84.61873645517755,86.55659680915308,105.0,68.43,1996134,144312.04,13.832068343015592,15.276190476190482
24,ACCELYA,INE793A01012,1341.7,1329.9292911070386,1334.272798345138,1439.1,1218.5,5745,15603.02,0.36819795142222467,6.768118963240906
25,ACE,INE731H01025,1168.5,1221.0277193787101,1216.7146177082773,1302.0,917.45,167154,280182.38,0.5965899782848586,10.253456221198157
26,ACI,INE128X01021,627.3,607.6464786438231,576.3857625309623,670.0,408.35,517125,768962.6,0.6724969458852745,6.373134328358216
27,ACLGATI,INE152B01027,60.8,60.70806434989046,62.09463792617886,71.85,52.01,213846,658425.6,0.32478384801563004,15.379262352122474
28,ACL,INE666E01020,55.82,56.78846408865785,59.12338718107818,70.0,48.15,20834,44551.78,0.4676356365559356,20.257142857142856
29,ADANIENSOL,INE931S01010,899.65,888.4201760555434,831.2245432963535,981.0,639.45,1191673,2480311.24,0.4804530095989082,8.292558613659534
30,ACMESOLAR,INE622W01025,209.21,206.9396949906035,204.45027863142167,230.0,171.99,471286,1139409.58,0.4136229923571469,9.039130434782605
31,ADANIGREEN,INE364U01010,900.7,924.2664421093589,916.0766619336233,983.35,758.0,3000004,5363113.88,0.5593772698333976,8.404942289113741
32,ADANIPORTS,INE742F01042,1216.5,1200.5232635483167,1166.685329350681,1282.5,1036.5,1824334,2540338.82,0.7181459361393375,5.146198830409357
